NULL,不错,1405
NULL,挺好,636
NULL,喜欢,635
NULL,满意,608
NULL,好,584
NULL,可以,449
NULL,很好,435
NULL,还可以,374
NULL,正品,331
NULL,差评,309
NULL,不好,285
NULL,失望,269
NULL,一般,265
NULL,还行,253
NULL,垃圾,250
NULL,坏,241
NULL,好用,240
NULL,便宜,199
NULL,不好用,192
NULL,好评,190
NULL,贵,174
NULL,方便,171
质量,不错,171
NULL,还好,169
东西,不错,163
NULL,很多,158
NULL,差,150
NULL,值得,140
NULL,一般般,139
NULL,不满意,135
NULL,无语,126
NULL,假货,125
质量,很好,125
感觉,不错,123
NULL,推荐,123
NULL,赞,120
物流,慢,116
效果,不错,116
NULL,实用,113
NULL,快,110
NULL,假,108
质量,好,103
质量,一般,102
NULL,不喜欢,98
NULL,舒服,98
价格,实惠,96
NULL,实惠,94
NULL,慢,94
NULL,容易,89
性价比,高,87
NULL,太差,85
NULL,卓越,85
NULL,后悔,85
NULL,没有好,85
质量,太差,84
NULL,信赖,82
NULL,适合,81
NULL,不值,81
NULL,能用,80
物流,很快,79
NULL,麻烦,76
质量,差,74
NULL,明显,73
购买,值得,72
NULL,不行,70
NULL,干,70
NULL,过敏,68
NULL,坑,68
NULL,郁闷,67
安装,好,66
快递,慢,64
购物,满意,64
NULL,严重,62
NULL,卡,61
NULL,合适,61
NULL,漂亮,61
物流,快,59
NULL,很快,59
NULL,破,59
效果,很好,59
NULL,物美价廉,58
NULL,薄,58
NULL,滋润,54
NULL,差不多,54
NULL,很差,54
NULL,不怎么样,51
NULL,清晰,51
价格,贵,51
NULL,硬,50
NULL,划算,50
味道,不错,49
服务,好,49
NULL,不舒服,48
NULL,不是很好,48
外观,漂亮,48
NULL,烂,47
NULL,厚,47
效果,好,47
大小,合适,47
NULL,凑合,47
送货,快,47
NULL,不太好,46
NULL,漏,46
NULL,将就,45
做工,粗糙,45
东西,很好,44
速度,快,44
NULL,很大,43
电视,挺好,43
包装,很好,43
用着,不错,41
发货,慢,41
质量,很差,41
价,不值,41
NULL,浪费,40
感觉,一般,40
NULL,流畅,40
NULL,可惜,40
感觉,还可以,39
NULL,简单,39
东西,一般,39
NULL,正常,39
质量,还可以,38
外观,不错,38
NULL,次,38
物流,给力,38
NULL,新,38
效果,一般,38
NULL,给力,37
NULL,不适,37
价格,便宜,36
时间,长,36
NULL,长,36
NULL,不油,36
用起来,不错,36
质量,不好,35
发货,快,35
NULL,高,35
服务态度,很好,35
总体,不错,34
NULL,久,34
NULL,不推荐,34
NULL,碎,34
NULL,过期,34
看着,不错,33
NULL,便宜没好货,33
包装,不错,33
NULL,使用方便,33
NULL,不少,33
NULL,太贵,33
NULL,很干,32
性价比,很高,32
NULL,很久,32
NULL,干净,31
感觉,还行,31
速度,很快,30
NULL,开心,30
价格,合适,30
使用,方便,30
服务,很好,30
NULL,最好,30
NULL,旧,29
NULL,不是正品,29
觉得,不错,29
NULL,更好,29
NULL,瑕疵,28
NULL,有问题,28
态度,很好,28
发货,很快,28
NULL,坑人,28
NULL,伤心,28
NULL,棒,28
NULL,不爽,28
NULL,好看,28
NULL,物有所值,28
手感,不错,27
NULL,粗糙,27
看起来,不错,27
NULL,小巧,27
感觉,好,27
送货速度,快,27
NULL,痒,27
快递,给力,27
NULL,没法用,27
NULL,很小,27
NULL,够用,27
NULL,错,27
NULL,大气,26
洗,不干净,26
NULL,重,26
NULL,行,26
用着,还可以,26
NULL,物超所值,26
NULL,很薄,26
东西,垃圾,25
速度,慢,25
NULL,差劲,25
质量,还行,25
做工,不错,25
味道,刺鼻,25
手机,不错,25
态度,好,25
NULL,遗憾,24
NULL,蛮好,24
NULL,结实,24
质量,可以,24
NULL,欺骗,24
送货,很快,24
NULL,次品,24
NULL,好大,24
NULL,可爱,24
做工,一般,24
性价比,不错,24
手感,很好,24
NULL,刚好,24
NULL,不是满意,23
NULL,完美,23
NULL,疼,23
NULL,不准,23
快递,很快,23
NULL,短,23
NULL,耐用,23
NULL,放心,23
用起来,方便,23
东西,还行,23
NULL,香,23
东西,还可以,23
声音,很小,22
效果,不好,22
产品,不错,22
NULL,清爽,22
NULL,清楚,22
感觉,很好,22
质量,一般般,22
商品,不错,22
味道,很大,22
NULL,普通,22
洗,干净,21
服务态度,好,21
NULL,恶心,21
包装,简陋,21
NULL,超值,21
NULL,很轻,21
NULL,不多,21
包装,好,21
NULL,不卡,21
音质,不错,21
NULL,理解,21
NULL,不方便,21
NULL,脏,21
NULL,随便,20
味道,不好,20
NULL,柔软,20
NULL,不稳,20
手机,很好,20
NULL,不干净,20
NULL,不怎么好,20
NULL,真品,20
NULL,ok,20
送货,及时,20
价钱,不值,19
NULL,太薄,19
电视,可以,19
NULL,不理,19
NULL,轻,19
感觉,不好,19
做工,精细,19
送货,慢,19
感觉,挺好,19
NULL,不行了,19
NULL,自然,19
操作,简单,19
安装,简单,18
书,不错,18
包装,完好,18
价格,对得起,18
用着,很好,18
NULL,正好,18
NULL,很少,18
NULL,不足,18
NULL,有用,18
发货速度,快,18
使用,不影响,18
发货速度,慢,18
价格,不贵,18
东西,好,18
NULL,小了点,18
性价比,不高,18
NULL,不是喜欢,18
NULL,小贵,18
NULL,爱吃,18
NULL,信任,18
NULL,难受,18
NULL,不正品,18
NULL,经济,18
NULL,没好,18
NULL,仔细,18
味道,很好,18
购物,不满意,18
NULL,厉害,18
NULL,静音,18
NULL,不推荐购买,17
东西,挺好,17
感觉,假,17
退货,麻烦,17
NULL,忽悠,17
NULL,费,17
电视,清晰,17
总体,满意,17
电视,不错,17
NULL,足够,17
NULL,点赞,17
NULL,全新,17
NULL,不容易,17
NULL,慎重,17
NULL,没有好用,17
NULL,透明,17
质量,有问题,17
NULL,不实用,17
NULL,不贵,17
NULL,好东西,17
质量,挺好,16
NULL,刺鼻,16
运行,流畅,16
画面,清晰,16
感觉,不值,16
安装,方便,16
NULL,正版,16
感觉,不太好,16
NULL,裂,16
宝贝,不错,16
总体,还行,16
服务,太差,16
实体店,便宜,16
价格,高,16
充电,慢,16
价格,合理,16
NULL,舒适,15
包装,简单,15
NULL,难吃,15
NULL,很高,15
味道,难闻,15
电池,不耐用,15
NULL,难用,15
做工,精致,15
NULL,地摊货,15
NULL,精致,15
NULL,很棒,15
NULL,很香,15
NULL,不清楚,15
NULL,响,15
NULL,好点,15
NULL,推荐购买,15
效果,不明显,15
使用,正常,14
NULL,温和,14
NULL,滑,14
东西,很多,14
味道,喜欢,14
整体,不错,14
NULL,美,14
NULL,不合适,14
产品,垃圾,14
使用,适合,14
快递,快,14
NULL,渣,14
味道,还可以,14
购物,愉快,14
NULL,安静,14
包装,不好,14
购物,失望,14
态度,差,14
感觉,假货,14
NULL,马马虎虎,14
价格,不便宜,14
NULL,不可以,14
做工,差,14
东西,正品,14
效果,还可以,14
质量,不行,14
NULL,坑爹,14
购物,失败,14
NULL,不开心,14
NULL,费钱,14
洗,很干,14
NULL,很厚,13
东东,不错,13
东西,可以,13
NULL,不耐用,13
NULL,专业,13
NULL,很重,13
包装,挺好,13
效果,挺好,13
NULL,坏掉,13
包装,差,13
NULL,够大,13
看着,还可以,13
NULL,好吃,13
NULL,负责,13
货,垃圾,13
购买,放心,13
用着,还行,13
NULL,型,13
NULL,大爱,13
NULL,不咋地,13
客服,耐心,13
NULL,不对,13
亚马逊,失望,13
用着,方便,13
NULL,奇怪,13
NULL,棒棒哒,13
总体,还可以,13
NULL,不好吃,13
产品,很好,13
物流,挺快,13
NULL,难闻,13
图片,不符,13
价钱,便宜,13
泡沫,丰富,13
味道,一般,13
操作,方便,13
感觉,坑,12
效果,明显,12
味道,好,12
做工,很好,12
续航,不错,12
NULL,不适合,12
NULL,没坏,12
NULL,被骗,12
NULL,有效,12
宝贝,很好,12
NULL,无奈,12
NULL,干燥,12
NULL,卡顿,12
服务,不错,12
手机,正品,12
到货,很快,12
NULL,淡淡的,12
产品,好,12
东西,不好,12
NULL,有点油,12
制冷效果,好,12
NULL,不是一般,12
服务,周到,12
屏幕,清晰,12
香味,喜欢,12
用着,舒服,12
外观,很好,12
NULL,油腻,12
NULL,保证,12
货,发错,12
老品牌,值得,12
NULL,二手,12
发货速度,很快,12
NULL,不结实,12
制冷,快,12
包装,精美,12
NULL,滑滑的,12
感觉,不是很好,11
NULL,满分,11
NULL,没有失望,11
感觉,贵,11
效果,可以,11
NULL,省电,11
内容,不错,11
NULL,细腻,11
感觉,被骗,11
NULL,五星,11
亚马逊,信任,11
价格,小贵,11
颜色,喜欢,11
客服态度,很好,11
NULL,耐心,11
清晰度,高,11
NULL,辛苦,11
NULL,要命,11
NULL,充不进去,11
NULL,挺快,11
NULL,不符,11
速度,挺快,11
包装,完整,11
NULL,不满,11
时间,久,11
看着,还行,11
物流,不给力,11
购买,谨慎,11
NULL,价廉物美,11
NULL,低,11
NULL,小小的,11
声音,很大,11
NULL,难看,11
NULL,准,11
快递,挺快,11
NULL,无味,11
NULL,不滋润,11
音质,一般,11
感觉,还好,11
味道,淡淡的,11
NULL,上档次,11
外观,大气,11
做工,好,11
价格,差不多,10
NULL,老顾客,10
NULL,犹豫,10
NULL,深,10
用着,挺好,10
